Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US09001,9001,"Fairfield County, Connecticut",15077,1910,2026,928,1426,958,537,399,634,478,194,177,1225,937,879,482,345,339,893,542,1387,754,2628,1040,1048,445,833,548,250,280,81,138,691,609
0500000US09003,9003,"Hartford County, Connecticut",16626,1690,3537,1131,1360,676,1922,714,838,433,1330,662,827,495,681,495,485,341,1166,622,819,463,1567,747,1393,664,531,388,129,162,41,66,0,274
0500000US09009,9009,"New Haven County, Connecticut",10518,1533,1698,695,712,442,663,417,598,362,470,453,976,495,999,552,651,456,649,415,943,514,846,467,503,341,542,307,0,274,141,164,127,203
0500000US11001,11001,"District of Columbia, District of Columbia",9950,1233,595,461,543,453,255,245,699,452,1333,710,364,342,732,496,778,577,362,365,1151,620,397,336,1302,795,370,394,613,519,156,180,300,311
0500000US12011,12011,"Broward County, Florida",20520,2349,1452,593,391,329,1484,932,1964,862,844,391,800,422,881,496,972,439,1039,494,2623,933,3079,916,2259,761,1432,623,488,301,555,450,257,221
0500000US12031,12031,"Duval County, Florida",7255,1269,394,430,177,247,563,516,258,202,1511,969,560,376,524,377,831,586,350,338,211,204,591,376,308,291,561,362,154,178,0,301,262,338
0500000US12057,12057,"Hillsborough County, Florida",15030,1905,1994,766,1265,547,1187,719,908,474,1543,718,1242,631,750,305,1470,616,849,526,1168,515,1425,585,906,499,139,164,46,77,138,134,0,301
0500000US12071,12071,"Lee County, Florida",7089,1596,427,316,227,298,613,346,597,443,598,435,399,297,338,277,704,577,296,201,827,598,114,141,1353,739,210,208,115,146,200,321,71,115
0500000US12086,12086,"Miami-Dade County, Florida",41478,3820,3737,1128,3047,1083,2678,1234,4451,1706,3114,1388,3111,1056,2108,1248,2375,727,2367,843,3374,981,3731,1253,3131,1085,2190,830,815,483,1025,490,224,194
0500000US12095,12095,"Orange County, Florida",30136,3353,2472,941,806,481,2173,1310,3186,1460,4096,1455,1637,706,1474,740,2437,1213,2959,1583,2165,769,2955,1111,1958,768,1012,528,448,342,358,401,0,301
0500000US12097,12097,"Osceola County, Florida",8292,1858,163,164,728,472,868,523,342,312,646,461,515,430,639,377,855,564,349,376,1434,1014,590,421,889,890,56,89,118,190,47,81,53,92
0500000US12099,12099,"Palm Beach County, Florida",23324,2147,1297,673,1039,523,2602,1081,1215,695,2197,898,1095,648,1702,874,2347,1303,1419,773,2453,853,2831,964,1378,631,1158,546,362,362,166,162,63,105
0500000US12103,12103,"Pinellas County, Florida",3361,754,276,245,354,273,205,195,537,539,422,351,292,225,55,92,157,187,162,163,439,330,180,154,222,163,0,301,60,100,0,301,0,301
0500000US12105,12105,"Polk County, Florida",8074,1432,442,289,347,343,701,557,702,595,1101,584,528,401,707,492,805,565,120,141,937,561,982,523,410,331,257,312,0,301,35,60,0,301
0500000US13067,13067,"Cobb County, Georgia",12111,2090,622,516,944,978,826,521,573,435,798,459,363,373,1204,685,459,399,877,613,1564,959,1106,825,2236,1057,375,350,43,73,51,88,70,117
0500000US13089,13089,"DeKalb County, Georgia",9006,1946,628,597,697,669,1163,748,1378,1055,1128,679,602,573,321,308,103,138,355,312,512,518,179,254,797,801,1103,1434,40,76,0,297,0,297
0500000US13121,13121,"Fulton County, Georgia",8497,1928,766,742,186,231,583,602,656,604,874,633,804,645,614,437,316,332,1225,662,142,173,913,659,362,363,889,667,0,297,95,154,72,120
0500000US13135,13135,"Gwinnett County, Georgia",16106,1767,212,172,703,518,799,537,1281,626,1737,726,1488,902,2900,1162,788,595,627,491,1160,625,1524,856,1480,624,751,575,273,301,300,300,83,144
0500000US13313,13313,"Whitfield County, Georgia",5923,769,319,379,221,352,1052,617,774,629,457,421,512,463,199,265,565,442,358,358,334,282,621,499,251,248,260,398,0,297,0,297,0,297
0500000US15003,15003,"Honolulu County, Hawaii",3717,969,49,81,92,110,467,416,81,112,141,135,348,273,214,185,362,347,176,148,158,196,597,326,377,318,510,417,145,238,0,264,0,264
