GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US06111,06111,"Ventura County, California",13869,2145,335,212,1124,490,242,182,493,371,347,319,701,378,324,236,789,612,741,447,1224,476,1190,529,3265,985,887,398,1262,609,220,161,725,465
0500000US08001,08001,"Adams County, Colorado",6250,1072,443,276,351,262,393,233,217,222,207,163,377,268,453,284,392,229,212,159,513,318,536,308,1035,465,577,465,219,179,206,218,119,189
0500000US08005,08005,"Arapahoe County, Colorado",11930,1541,893,551,514,372,1081,508,1803,840,669,414,1079,579,587,336,304,254,770,571,894,467,1387,637,676,446,714,510,109,108,182,238,268,269
0500000US08031,08031,"Denver County, Colorado",8777,1383,1500,559,697,467,327,330,663,418,399,303,1076,605,401,316,629,380,285,203,577,373,1029,564,700,407,68,81,270,309,61,75,95,110
0500000US08041,08041,"El Paso County, Colorado",10277,1554,621,432,540,368,942,632,1517,860,333,279,934,525,1411,687,385,328,720,502,1022,576,477,375,981,665,69,122,168,206,157,200,0,195
0500000US08059,08059,"Jefferson County, Colorado",3283,900,154,156,81,139,184,171,90,106,198,167,0,195,308,300,224,215,127,112,263,224,907,521,146,129,163,217,234,240,157,155,47,82
0500000US08101,08101,"Pueblo County, Colorado",8203,1232,1033,477,1191,665,649,422,611,366,244,208,731,555,309,211,73,95,291,302,1190,529,1045,658,242,218,378,283,88,145,128,155,0,195
0500000US08123,08123,"Weld County, Colorado",9275,1258,608,378,635,347,180,177,531,418,620,509,427,239,837,444,800,413,288,246,946,461,922,490,1441,786,769,458,70,118,81,134,120,198
0500000US09001,09001,"Fairfield County, Connecticut",17717,2204,1057,572,938,488,993,551,1529,736,860,572,933,489,1584,762,647,426,1200,605,1127,598,1917,788,2215,1077,1914,962,529,414,151,142,123,119
0500000US09003,09003,"Hartford County, Connecticut",17871,2278,2931,894,2002,844,2610,886,1536,763,1124,628,1213,665,574,354,720,574,719,509,1604,778,791,449,1394,574,300,226,353,323,0,201,0,201
0500000US09009,09009,"New Haven County, Connecticut",14455,2236,1997,756,1799,798,1219,716,1000,777,477,371,2108,1054,1066,606,861,507,493,388,1123,794,626,501,632,423,325,354,45,76,329,294,355,360
0500000US11001,11001,"District of Columbia, District of Columbia",7461,1643,777,645,470,463,188,259,325,306,1113,686,859,536,122,196,529,378,179,234,488,492,363,346,826,653,302,339,411,461,320,303,189,229
0500000US12011,12011,"Broward County, Florida",15788,2327,607,265,501,446,1148,540,824,426,799,430,1300,685,601,368,654,391,937,666,2261,815,1455,747,1851,874,1411,624,461,414,722,513,256,207
0500000US12057,12057,"Hillsborough County, Florida",17071,2212,2526,1013,1344,758,713,474,867,387,1133,472,1967,877,1319,732,1268,621,453,359,1173,574,1681,865,1657,809,321,225,343,486,306,225,0,218
0500000US12071,12071,"Lee County, Florida",5067,1408,667,424,326,230,342,339,391,288,243,234,760,473,329,283,669,560,199,154,255,262,331,294,329,510,121,196,105,184,0,218,0,218
0500000US12086,12086,"Miami-Dade County, Florida",18586,2385,2037,974,1218,562,1144,552,1684,661,1149,593,858,501,956,511,1043,599,875,501,1941,711,1528,682,2376,1006,796,313,198,194,404,428,379,247
0500000US12095,12095,"Orange County, Florida",25884,3301,2567,1152,1107,835,1732,900,1841,890,1882,869,1098,626,1554,905,2048,842,525,379,3508,1522,3834,1205,1818,909,1636,1012,332,385,370,286,32,51
0500000US12099,12099,"Palm Beach County, Florida",8317,1357,664,331,282,217,553,341,555,326,885,477,726,408,130,107,485,384,409,274,889,517,722,375,632,404,564,415,290,286,179,177,352,282
0500000US13067,13067,"Cobb County, Georgia",7664,1781,257,352,1318,761,470,503,1010,791,625,493,552,431,670,571,157,259,403,341,898,744,428,385,404,371,107,177,323,304,42,70,0,214
0500000US13135,13135,"Gwinnett County, Georgia",16810,2361,296,410,609,422,934,715,1881,949,1485,888,3660,1956,1411,869,1823,793,936,669,1068,729,924,728,1178,749,435,428,98,158,72,118,0,214
0500000US17031,17031,"Cook County, Illinois",127194,5334,7451,1414,6921,1407,8037,1355,9673,1815,10484,1748,9995,1437,9922,1716,7237,1268,5423,1332,11005,1700,12304,1913,12835,2026,8053,1674,4003,1111,2740,669,1111,580
0500000US17043,17043,"DuPage County, Illinois",5214,1070,542,434,0,185,213,234,249,218,658,501,576,391,319,255,410,347,246,240,262,186,756,411,215,164,478,347,165,138,0,185,125,98
