Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US36103,36103,"Suffolk County, New York",19542,2215,888,569,645,588,846,695,903,634,725,495,1268,997,1352,740,1233,729,611,458,1681,793,2464,863,2414,1083,2012,1063,1378,653,656,459,466,482
0500000US36119,36119,"Westchester County, New York",26871,2424,929,551,2194,840,2066,909,2434,1106,873,464,1348,627,1641,742,1370,705,1503,684,2817,1029,2512,934,4056,1264,1743,822,924,546,212,278,249,289
0500000US37063,37063,"Durham County, North Carolina",5368,842,444,414,54,94,291,325,325,279,533,438,475,398,524,376,680,523,308,363,795,410,239,228,151,190,385,387,0,289,107,179,57,100
0500000US37119,37119,"Mecklenburg County, North Carolina",9955,1633,531,370,1501,795,1150,825,741,589,639,442,434,365,466,424,718,650,455,428,858,592,1466,905,610,368,208,261,0,289,0,289,178,172
0500000US40109,40109,"Oklahoma County, Oklahoma",8266,1345,459,278,667,371,736,483,900,522,631,404,897,529,812,386,752,403,544,354,577,363,325,233,562,414,0,253,83,98,321,329,0,253
0500000US40143,40143,"Tulsa County, Oklahoma",5217,928,190,190,302,290,340,228,807,569,131,127,373,227,557,374,203,255,103,119,723,485,547,330,495,299,325,372,72,122,49,82,0,253
0500000US41047,41047,"Marion County, Oregon",7846,1385,517,381,581,399,1116,663,747,482,271,253,327,291,512,516,884,601,386,406,521,466,953,612,877,557,51,93,0,277,0,277,103,123
0500000US41051,41051,"Multnomah County, Oregon",7590,1721,773,662,181,170,234,204,57,97,2136,1052,376,358,567,489,551,427,560,514,496,476,509,409,639,382,60,108,118,146,0,277,333,320
0500000US41067,41067,"Washington County, Oregon",8311,1559,471,495,476,381,272,362,871,603,1181,796,470,369,721,498,757,508,593,472,475,401,932,771,747,501,257,340,0,277,0,277,88,165
0500000US42011,42011,"Berks County, Pennsylvania",8856,1117,2471,842,1075,495,404,321,756,418,329,320,299,299,782,529,701,513,101,118,524,374,536,443,690,576,94,113,94,110,0,246,0,246
0500000US42101,42101,"Philadelphia County, Pennsylvania",22136,2358,5092,1373,2172,818,1752,858,2388,937,1399,726,1293,666,876,533,637,403,335,255,2042,931,2036,830,1471,751,300,311,144,168,199,302,0,246
0500000US44007,44007,"Providence County, Rhode Island",17392,1986,2822,994,1801,662,2454,791,531,437,1235,611,1558,751,1127,622,884,419,1275,573,677,422,730,429,1343,642,360,298,293,335,250,246,52,87
0500000US48029,48029,"Bexar County, Texas",57616,4307,6677,1350,3911,1233,4171,1060,5583,1492,4071,1387,3839,1035,3314,1101,4380,1236,4183,1129,4067,1153,4101,1007,4945,1375,2085,780,1054,624,1076,600,159,269
0500000US48039,48039,"Brazoria County, Texas",3497,1017,642,476,0,294,56,91,448,392,127,212,212,219,375,359,173,165,136,131,394,302,201,182,264,194,363,386,0,294,0,294,106,178
0500000US48061,48061,"Cameron County, Texas",5323,1084,1422,586,472,276,699,379,285,257,179,153,114,121,445,307,36,59,148,143,444,395,251,211,393,356,256,191,108,133,0,294,71,120
0500000US48085,48085,"Collin County, Texas",5837,1331,0,294,67,110,634,506,727,519,503,424,345,296,366,382,171,209,41,69,560,439,630,390,697,372,666,342,0,294,354,245,76,123
0500000US48113,48113,"Dallas County, Texas",79972,3470,3916,1041,3639,1157,7511,1666,9592,1770,7038,1635,7840,1700,5882,1509,5205,1307,4401,1284,7289,1656,7345,1545,5532,1227,2647,958,719,526,932,588,484,385
0500000US48141,48141,"El Paso County, Texas",33073,2765,5045,1117,4473,1122,4713,1161,3554,1070,2288,951,1775,599,1655,757,1488,744,766,345,2879,952,1323,600,2258,833,372,293,207,199,118,139,159,259
0500000US48157,48157,"Fort Bend County, Texas",8229,1296,242,210,917,630,110,118,547,329,1010,580,756,568,280,235,929,571,108,174,950,576,725,461,603,383,812,535,153,183,87,148,0,294
