CountyID,CountyName,TotalPopulation,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999"," $100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Year,Race
13013,"Barrow County, Georgia",18610,731,1416,1476,743,1351,1041,1100,779,1223,1413,2418,2465,1481,255,505,213,2008,White
13015,"Bartow County, Georgia",27533,1741,2024,935,1184,1202,1335,1422,571,1666,3802,2210,3681,1844,1839,1549,528,2008,White
13021,"Bibb County, Georgia",29494,2671,2035,1249,1576,1543,1002,806,1356,1815,2042,2931,3459,2388,1639,738,2244,2008,White
13031,"Bulloch County, Georgia",17398,2466,1563,957,661,517,1080,802,1185,811,1241,1632,2376,1311,235,329,232,2008,White
13045,"Carroll County, Georgia",31849,2007,1386,2541,1505,1977,1821,1338,1878,1476,2569,4236,5045,1705,661,710,994,2008,White
13051,"Chatham County, Georgia",57123,3950,2287,2379,2054,2637,2920,2563,3052,2541,5123,6107,8190,5418,2055,2457,3390,2008,White
13057,"Cherokee County, Georgia",68289,2494,2034,2468,2378,1695,4117,3968,2352,3090,5097,8617,10735,6751,4097,4694,3702,2008,White
13059,"Clarke County, Georgia",27936,4075,2229,1387,1728,1797,1177,1047,1046,1279,2205,3188,2545,1065,757,1075,1336,2008,White
13063,"Clayton County, Georgia",24594,1864,1248,1689,1601,1521,1563,1419,1467,1044,1810,3218,3281,1496,756,444,173,2008,White
13067,"Cobb County, Georgia",174109,5506,6016,5310,4669,5654,7856,5404,7154,5545,10883,18166,26945,18410,15814,14992,15785,2008,White
13073,"Columbia County, Georgia",30947,1138,940,726,1291,1466,1208,1812,998,1206,2970,3687,4080,2892,1799,3005,1729,2008,White
13077,"Coweta County, Georgia",34256,1213,741,1398,869,1347,1779,1807,1863,1422,2385,5542,5799,4603,1432,1040,1016,2008,White
13089,"DeKalb County, Georgia",111715,5470,2602,4503,3913,4026,3748,3866,3139,3281,9358,12757,13380,9953,8700,9947,13072,2008,White
13095,"Dougherty County, Georgia",13725,239,832,964,773,514,529,864,834,720,1214,2084,1346,658,434,796,924,2008,White
13097,"Douglas County, Georgia",26482,1100,759,1068,921,960,1007,1997,1625,1493,1862,2905,4668,2859,1400,1010,848,2008,White
13113,"Fayette County, Georgia",28037,391,631,1245,476,1036,883,575,1086,682,2342,2954,3505,3130,2498,3991,2612,2008,White
13115,"Floyd County, Georgia",28985,2052,1266,1876,2491,1482,1962,1506,1684,1669,2575,2416,3779,1280,941,1177,829,2008,White
13117,"Forsyth County, Georgia",51443,1545,1135,1529,630,1115,1501,985,1520,2295,3282,6385,7011,8152,3590,5743,5025,2008,White
13121,"Fulton County, Georgia",202892,6075,5360,5644,6419,4466,5832,6170,7271,5899,13895,19128,24592,22995,13423,19015,36708,2008,White
13127,"Glynn County, Georgia",21256,1122,1708,639,932,1161,511,925,765,514,1363,3004,2612,2798,1159,1163,880,2008,White
13135,"Gwinnett County, Georgia",155013,4045,3473,4055,5363,5145,4656,5944,5467,5414,11618,20278,25686,20862,11136,12697,9174,2008,White
13139,"Hall County, Georgia",48222,2771,2080,1909,1818,2676,2310,2450,2286,2683,4631,4873,6604,4355,2157,2289,2330,2008,White
13151,"Henry County, Georgia",41106,1555,1064,1383,1218,1286,1871,1311,2378,1891,3770,4724,7854,5069,2257,1817,1658,2008,White
13153,"Houston County, Georgia",35515,1917,1371,740,1689,2112,1463,1361,2024,1436,2890,4750,6312,2899,1288,2503,760,2008,White
13185,"Lowndes County, Georgia",26073,1728,1196,1002,1914,1449,1412,1356,1456,1156,3075,3400,2561,1766,798,1058,746,2008,White
13215,"Muscogee County, Georgia",34205,2496,2273,1460,1364,2190,1742,2128,1736,2237,3181,4242,3152,2390,894,1101,1619,2008,White
13217,"Newton County, Georgia",20629,532,858,621,963,556,1045,1185,676,1635,1917,2814,3413,2431,773,803,407,2008,White
13223,"Paulding County, Georgia",39936,2641,1180,1902,780,2306,1730,2828,1986,971,3834,5273,6712,3555,2735,1265,238,2008,White
13245,"Richmond County, Georgia",33204,2827,1523,1932,1688,2708,1781,1801,1424,1571,2956,4152,3782,2118,960,1065,916,2008,White
13247,"Rockdale County, Georgia",15287,213,392,944,797,340,802,545,743,1035,1502,2386,2710,883,957,524,514,2008,White
13297,"Walton County, Georgia",23803,1669,1102,799,793,988,1060,931,790,1716,2556,2231,4830,2712,748,402,476,2008,White
13313,"Whitfield County, Georgia",27933,2158,1602,1757,2004,1562,1710,1495,2483,980,3613,2450,2796,1363,381,784,795,2008,White
15001,"Hawaii County, Hawaii",28677,2139,2858,990,1475,855,2165,971,913,1235,1722,3369,3334,3398,1409,767,1077,2008,White
15003,"Honolulu County, Hawaii",86580,4630,2485,2306,2244,2162,2706,4084,4068,3369,5825,10190,13764,10972,6432,5168,6175,2008,White
15009,"Maui County, Hawaii",24518,1361,458,741,1105,449,747,931,800,756,2120,3132,4147,3658,1461,1192,1460,2008,White
16001,"Ada County, Idaho",137933,6255,5904,4889,6149,7580,7722,6505,7240,6294,14281,16896,19201,10706,7148,6348,4815,2008,White
16005,"Bannock County, Idaho",26872,1506,1944,1893,931,1766,1069,1649,1266,1622,3458,3045,3870,1765,435,169,484,2008,White
16019,"Bonneville County, Idaho",34150,1522,1526,2104,2389,1900,1775,1622,1804,1673,3377,4497,4506,2785,744,1045,881,2008,White
16027,"Canyon County, Idaho",58996,2744,4401,3088,4450,3688,4135,3805,4279,3185,5710,8429,6260,2375,1121,801,525,2008,White
16055,"Kootenai County, Idaho",51460,2744,3280,2601,2431,2905,3208,2818,2810,3041,5707,6373,6027,3945,1479,988,1103,2008,White
16083,"Twin Falls County, Idaho",26968,1363,2685,1238,1557,1544,2303,2252,1287,1548,2853,3190,2942,1069,360,261,516,2008,White
17001,"Adams County, Illinois",25587,1818,1223,1552,1656,1213,1682,1869,1445,1097,2023,2978,2913,1801,971,490,856,2008,White
17019,"Champaign County, Illinois",60589,5435,4094,2701,2399,3608,3475,3165,3311,2199,5741,7541,6437,4297,2274,1911,2001,2008,White
17031,"Cook County, Illinois",1187451,62763,49699,51381,52775,47286,50645,44893,52460,46885,91967,124173,157982,113882,67605,77680,95375,2008,White
17037,"DeKalb County, Illinois",32719,2174,886,1156,1548,1273,1215,2198,2133,1945,2609,5137,4175,2907,1483,833,1047,2008,White
17043,"DuPage County, Illinois",282697,8481,7754,7456,10668,8274,7426,9238,8864,11687,20450,33619,41596,32116,22884,23875,28309,2008,White
