GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US20177,20177,"Shawnee County, Kansas",5568,804,1065,650,631,348,194,123,644,535,631,491,297,273,499,321,188,191,358,287,304,205,553,589,0,240,62,101,88,105,54,88,0,240
0500000US20209,20209,"Wyandotte County, Kansas",16714,1145,3167,1028,2162,788,1564,806,871,641,1955,902,1163,463,493,338,761,558,393,275,1332,516,960,462,1331,594,348,284,153,160,0,240,61,97
0500000US21047,21047,"Christian County, Kentucky",5882,672,785,495,525,296,829,560,89,111,623,408,843,513,527,276,289,244,199,191,589,427,211,187,208,218,97,118,0,270,0,270,68,125
0500000US21067,21067,"Fayette County, Kentucky",14077,1040,3072,916,1495,619,1486,556,874,485,1096,502,1322,578,867,453,1120,569,295,294,652,460,902,468,333,256,420,324,143,141,0,270,0,270
0500000US21111,21111,"Jefferson County, Kentucky",56783,1983,12116,1833,5457,1494,4923,1161,5218,1637,3549,891,3851,933,3151,1164,2735,829,2869,1143,4606,1032,4110,1106,2330,628,731,274,271,209,382,331,484,395
0500000US22005,22005,"Ascension Parish, Louisiana",6450,904,1720,1143,233,229,541,486,630,475,924,585,537,438,470,366,88,151,0,278,205,331,339,269,370,284,246,248,74,138,0,278,73,117
0500000US22015,22015,"Bossier Parish, Louisiana",7690,581,1524,566,788,441,1168,607,405,306,512,338,145,174,371,286,428,282,319,270,280,263,858,524,431,350,36,63,83,136,231,289,111,180
0500000US22017,22017,"Caddo Parish, Louisiana",41023,1845,9443,1716,4170,1030,3906,1228,3861,948,3451,1415,3100,1317,2738,1074,1392,661,1474,532,3014,1123,1379,588,2181,1006,387,272,453,465,0,278,74,87
0500000US22019,22019,"Calcasieu Parish, Louisiana",17427,1330,3684,1152,2704,1017,2352,826,1480,750,924,491,866,735,661,428,580,359,438,418,1239,658,542,450,974,569,331,274,407,459,245,278,0,278
0500000US22033,22033,"East Baton Rouge Parish, Louisiana",61677,2110,10559,1894,6114,1623,7408,1802,5184,1496,4093,1082,3979,1387,3111,1131,1792,761,2135,782,6505,2044,3668,932,4545,1495,1342,564,762,365,339,264,141,135
0500000US22051,22051,"Jefferson Parish, Louisiana",38192,1964,6815,1685,3283,1345,3685,1473,2990,1260,2568,932,1504,815,1250,700,2845,1268,2217,1141,2045,731,3030,1804,3669,1194,1080,611,843,580,324,338,44,71
0500000US22055,22055,"Lafayette Parish, Louisiana",17530,1073,3490,992,2196,831,1525,695,1632,741,732,353,1937,855,993,559,380,267,419,362,1373,639,1094,565,994,535,158,164,191,222,102,189,314,261
0500000US22071,22071,"Orleans Parish, Louisiana",101012,2918,19840,2624,13274,2652,11967,2852,7548,2137,6129,1883,5379,1530,6137,1238,4814,1773,3721,1078,5214,1433,5248,1094,5275,1874,3608,1674,1294,836,736,560,828,543
0500000US22073,22073,"Ouachita Parish, Louisiana",17311,1482,3783,1126,2980,805,1421,634,1445,676,1254,720,951,613,1690,760,858,724,616,457,865,512,324,277,840,421,135,149,109,134,0,278,40,65
0500000US22079,22079,"Rapides Parish, Louisiana",13427,974,3162,868,1606,689,754,364,1805,686,1520,804,1008,434,598,313,357,312,331,201,733,337,307,213,426,322,244,230,231,364,105,145,240,319
