Id,Id2,Geography,Race,Year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
0500000US06101,6101,"Sutter County, California",Hispanic,2016,7879,394,491,649,816,495,308,473,567,340,711,1224,711,188,308,204,0
0500000US06107,6107,"Tulare County, California",Hispanic,2016,73548,6095,5166,5478,5222,6304,3867,4755,5148,5984,4810,7029,6866,3780,1622,1036,386
0500000US06111,6111,"Ventura County, California",Hispanic,2016,82831,2925,2388,2684,4751,3894,3623,4065,4000,3740,8501,8565,11636,8627,4519,5112,3801
0500000US06113,6113,"Yolo County, California",Hispanic,2016,19146,1120,1125,1119,1083,911,992,1159,1025,796,1865,2591,2260,1465,471,423,741
0500000US06115,6115,"Yuba County, California",Hispanic,2016,5678,323,360,175,383,198,515,443,262,374,212,935,242,435,763,58,0
0500000US08001,8001,"Adams County, Colorado",Hispanic,2016,52092,2674,1659,2956,2427,3248,3199,2141,3686,1705,5764,5240,9134,4435,1571,1347,906
0500000US08005,8005,"Arapahoe County, Colorado",Hispanic,2016,31092,1283,1164,1218,1278,1735,1980,1060,1736,1478,3870,3903,4638,3004,870,907,968
0500000US08013,8013,"Boulder County, Colorado",Hispanic,2016,12306,775,653,756,846,519,644,622,1138,526,1038,1261,1419,716,611,430,352
0500000US08031,8031,"Denver County, Colorado",Hispanic,2016,62793,5084,2670,4845,4587,2498,3953,4360,3201,2758,6847,5742,7973,3404,1363,1812,1696
0500000US08041,8041,"El Paso County, Colorado",Hispanic,2016,32450,1441,1278,1924,1882,2357,1195,1364,1665,1955,3350,3117,4232,2413,2100,1136,1041
0500000US08059,8059,"Jefferson County, Colorado",Hispanic,2016,26570,1314,770,1029,1206,1618,1187,2307,1355,858,3616,3050,3366,1793,1284,909,908
0500000US08069,8069,"Larimer County, Colorado",Hispanic,2016,9909,954,520,0,774,739,309,258,922,694,733,686,1822,723,172,177,426
0500000US08101,8101,"Pueblo County, Colorado",Hispanic,2016,22897,2043,1735,1292,1509,1782,1320,1421,1333,1026,2166,1903,2826,1231,463,438,409
0500000US08123,8123,"Weld County, Colorado",Hispanic,2016,23434,2173,1332,1359,1248,1038,1394,1081,1242,866,3076,3440,2637,1051,721,520,256
0500000US09001,9001,"Fairfield County, Connecticut",Hispanic,2016,51404,3098,2879,2501,2422,2791,2027,2785,2777,2451,5579,4856,4410,4787,2823,2470,2748
0500000US09003,9003,"Hartford County, Connecticut",Hispanic,2016,50710,7112,4558,2956,2714,2399,3293,1733,2707,3965,4151,3779,5435,2265,1960,865,818
0500000US09009,9009,"New Haven County, Connecticut",Hispanic,2016,47477,4827,2768,2285,2477,1834,2789,4515,2787,2778,4331,5060,4979,2714,1405,923,1005
0500000US09011,9011,"New London County, Connecticut",Hispanic,2016,8976,399,117,285,402,797,357,991,135,320,1090,1024,1265,874,243,465,212
0500000US10003,10003,"New Castle County, Delaware",Hispanic,2016,14990,1204,247,721,1921,1013,1396,714,369,370,1596,966,1772,937,705,322,737
0500000US11001,11001,"District of Columbia, District of Columbia",Hispanic,2016,26909,1989,2342,1485,621,642,1222,805,489,1353,1483,3096,2728,1887,1555,2366,2846
0500000US12001,12001,"Alachua County, Florida",Hispanic,2016,7481,1689,740,338,489,406,236,114,609,567,68,799,394,375,107,378,172
0500000US12009,12009,"Brevard County, Florida",Hispanic,2016,15335,1830,1257,513,1222,918,734,393,719,387,1711,1311,1821,795,284,633,807
0500000US12011,12011,"Broward County, Florida",Hispanic,2016,170733,10922,8552,8578,9076,8477,10222,8906,8511,8299,12236,19903,20191,12924,8342,8090,7504
0500000US12021,12021,"Collier County, Florida",Hispanic,2016,21781,1253,495,1274,1538,2465,1398,1149,1732,1201,2381,2631,1704,989,854,225,492
0500000US12031,12031,"Duval County, Florida",Hispanic,2016,26472,1829,1656,860,1728,1402,1406,1337,1029,907,2190,3976,2898,2679,913,1021,641
0500000US12033,12033,"Escambia County, Florida",Hispanic,2016,5108,520,471,109,89,279,204,670,356,0,194,298,236,486,944,0,252
0500000US12053,12053,"Hernando County, Florida",Hispanic,2016,6514,519,822,585,281,348,432,624,105,64,320,454,1111,470,340,39,0
0500000US12057,12057,"Hillsborough County, Florida",Hispanic,2016,120171,10835,8283,6543,10819,7297,7334,5920,6920,6657,10263,12508,10741,6508,3165,3437,2941
0500000US12069,12069,"Lake County, Florida",Hispanic,2016,12965,600,317,1439,1060,964,588,96,2114,244,1059,1516,1699,375,474,165,255
0500000US12071,12071,"Lee County, Florida",Hispanic,2016,34373,2263,1893,2032,2621,2408,3059,1506,1889,1769,5145,3229,2959,1597,939,823,241
0500000US12073,12073,"Leon County, Florida",Hispanic,2016,5269,847,382,56,224,121,372,46,330,0,744,484,616,234,310,448,55
0500000US12081,12081,"Manatee County, Florida",Hispanic,2016,14539,584,808,794,791,1788,995,708,1841,1030,951,1364,1315,446,438,195,491
0500000US12083,12083,"Marion County, Florida",Hispanic,2016,12168,512,574,540,1196,432,1346,612,1173,675,1487,1222,1257,797,0,234,111
