Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US26161,26161,"Washtenaw County, Michigan",10266,1065,2071,620,741,583,426,330,788,450,234,166,216,183,260,164,579,301,229,195,503,267,886,325,829,374,953,355,638,333,417,239,496,370
0500000US26163,26163,"Wayne County, Michigan",14224,899,872,449,710,384,620,287,524,337,953,480,937,490,285,250,135,134,338,215,890,421,1602,561,1776,578,1413,499,1301,553,697,401,1171,574
0500000US27053,27053,"Hennepin County, Minnesota",18174,1409,1745,706,466,292,628,352,1010,475,709,392,250,200,1127,585,793,473,827,440,2048,718,2660,854,2595,788,1615,743,513,296,444,284,744,425
0500000US27123,27123,"Ramsey County, Minnesota",10826,804,1666,499,597,372,368,285,744,461,418,284,374,257,354,200,1012,502,418,244,1089,435,790,353,1223,486,655,346,371,259,463,287,284,215
0500000US29189,29189,"St. Louis County, Missouri",11049,859,624,379,151,207,121,131,431,430,308,311,422,311,491,309,699,482,1149,792,691,472,1333,544,1490,544,1172,560,421,274,827,392,719,377
0500000US32003,32003,"Clark County, Nevada",40130,2130,2310,709,1076,510,1564,840,1078,436,1920,642,1600,519,2586,1007,2566,724,2599,775,4922,1024,5407,1082,7462,1738,2106,682,1175,540,851,361,908,416
0500000US32031,32031,"Washoe County, Nevada",6407,793,338,238,582,443,520,394,190,156,619,420,400,293,720,371,194,191,120,106,259,201,821,432,1079,432,312,238,99,133,154,160,0,297
0500000US34003,34003,"Bergen County, New Jersey",38576,1671,1920,825,647,470,1193,705,752,458,828,400,1176,636,711,387,1337,728,1864,1050,1549,701,6120,1874,5794,1763,5121,1267,2711,807,3364,817,3489,1046
0500000US34005,34005,"Burlington County, New Jersey",5469,681,259,210,0,278,61,102,264,248,107,156,0,278,382,285,257,227,188,158,329,261,600,404,1194,551,617,369,214,182,501,431,496,435
0500000US34007,34007,"Camden County, New Jersey",6423,641,338,317,98,127,289,254,226,189,462,398,0,278,234,191,382,239,107,132,221,184,798,373,1715,580,539,272,395,240,426,248,193,156
