GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US17037,17037,"DeKalb County, Illinois",32719,1632,2174,752,886,467,1156,549,1548,543,1273,524,1215,521,2198,688,2133,641,1945,718,2609,759,5137,1093,4175,873,2907,707,1483,412,833,366,1047,446
0500000US17043,17043,"DuPage County, Illinois",282697,3552,8481,1662,7754,1077,7456,1221,10668,1577,8274,1349,7426,1199,9238,1314,8864,1407,11687,1604,20450,2129,33619,3085,41596,2873,32116,2680,22884,2297,23875,2048,28309,2292
0500000US17089,17089,"Kane County, Illinois",130647,2672,3238,932,4166,863,2773,725,4774,1045,4597,1160,5508,1243,3997,1031,5636,1386,4599,1066,11625,1604,15036,1863,21151,2017,14637,1747,9329,1355,9947,1354,9634,1346
0500000US17091,17091,"Kankakee County, Illinois",32547,1292,1310,462,1619,545,1478,512,1801,526,1509,532,1808,602,1574,517,1627,569,1520,577,3028,835,4210,711,4817,948,3464,850,1401,448,1050,538,331,215
0500000US17093,17093,"Kendall County, Illinois",29201,1075,375,260,266,210,611,368,398,276,498,233,504,462,981,498,898,403,1471,626,2889,785,3360,799,6130,990,3604,692,2825,715,2579,596,1812,523
0500000US17097,17097,"Lake County, Illinois",190842,2926,4854,1076,4588,746,4548,942,5687,1207,4968,1004,6219,980,5958,1008,6259,1090,6276,1220,15130,1765,19418,1972,26651,1694,22253,1976,14774,1787,19199,1796,24060,1792
0500000US17099,17099,"LaSalle County, Illinois",42719,1307,1869,512,2671,814,2392,598,2608,768,2872,775,2507,680,2385,640,1865,577,1885,610,3482,836,5754,972,5357,853,3192,825,1712,512,1445,539,723,311
0500000US17111,17111,"McHenry County, Illinois",102515,1927,3533,1006,1944,456,3343,903,2700,898,2987,911,3048,759,3188,817,3820,1037,3576,812,7580,1222,10925,1597,19204,1770,15327,1635,7848,1175,8880,1466,4612,731
0500000US17113,17113,"McLean County, Illinois",55702,1950,2367,886,2940,850,2542,806,2718,779,1590,536,2676,856,2074,632,1992,651,3790,901,5589,1120,5824,1024,9375,1455,5199,1021,2544,609,2896,603,1586,505
0500000US17115,17115,"Macon County, Illinois",39124,1451,1373,492,1855,559,2130,678,2225,605,2747,712,2943,930,2008,544,2431,651,2633,795,3688,841,4311,847,5380,815,2492,499,566,251,981,393,1361,492
