,Unnamed: 0,Place of Destination,City,State,Students,Year,Lat,Lng,County_Name,County
86,86,University of Florida,Gainesville,Florida,"4,731",2008,29.6516344,-82.3248262,Alachua  County,"Alachua  County, Florida"
87,87,University of Pennsylvania,Philadelphia,Pennsylvania,"4,635",2008,39.9525839,-75.1652215,Philadelphia  County,"Philadelphia  County, Pennsylvania"
88,88,Ohio State University - Main Campus,Columbus,Ohio,"4,583",2008,39.9611755,-82.9987942,Franklin  County,"Franklin  County, Ohio"
89,89,Indiana University - Bloomington,Bloomington,Indiana,"4,565",2008,39.165325,-86.5263857,Monroe  County,"Monroe  County, Indiana"
90,90,Texas A&M University,College Station,Texas,"4,558",2008,30.627977,-96.3344068,Brazos  County,"Brazos  County, Texas"
91,91,SUNY University at Buffalo,Buffalo,New York,"4,539",2008,42.8864468,-78.8783689,Erie  County,"Erie  County, New York"
92,92,Arizona State University - Tempe Campus,Tempe,Arizona,"4,375",2008,33.4255104,-111.9400054,Maricopa  County,"Maricopa  County, Arizona"
93,93,University of Wisconsin - Madison,Madison,Wisconsin,"4,243",2008,43.0730517,-89.4012302,Dane  County,"Dane  County, Wisconsin"
94,94,University of Minnesota - Twin Cities,Minneapolis,Minnesota,"4,120",2008,44.977753,-93.2650108,Hennepin  County,"Hennepin  County, Minnesota"
95,95,Cornell University,Ithaca,Tompkins County,"4,018",2008,42.4439614,-76.5018807,Ithaca County,"Ithaca County, New York"
96,96,Stanford University,Stanford,Stanford,"3,976",2008,37.4274745,-122.169719,Serra Mall County,"Serra Mall County, California"
97,97,Georgia Institute of Technology,Atlanta,Georgia,"3,911",2008,33.7489954,-84.3879824,Fulton  County,"Fulton  County, Georgia"
98,98,University of Houston,Houston,Texas,"3,778",2008,29.7604267,-95.3698028,Harris  County,"Harris  County, Texas"
99,99,Penn State University - University Park,University Park,Centre County,"3,741",2008,32.8550377,-96.797592,Dallas  County,"Dallas  County, Texas"
100,100,University of Southern California,Los Angeles,California,"8,615",2010,34.0522342,-118.2436849,Los Angeles  County,"Los Angeles  County, California"
101,101,University of Illinois - Urbana-Champaign,Champaign,Champaign County,"7,991",2010,40.1164204,-88.2433829,Champaign City Township County,"Champaign City Township County, Illinois"
102,102,New York University,New York,United States,"7,988",2010,40.7127753,-74.0059728,New York County,"New York County, New York"
103,103,Purdue University - Main Campus,West Lafayette,Tippecanoe County,"7,562",2010,40.4258686,-86.9080655,Wabash Township County,"Wabash Township County, Indiana"
104,104,Columbia University,New York,United States,"7,297",2010,40.7127753,-74.0059728,New York County,"New York County, New York"
105,105,University of California - Los Angeles,Los Angeles,California,"6,249",2010,34.0522342,-118.2436849,Los Angeles  County,"Los Angeles  County, California"
106,106,Ohio State University - Main Campus,Columbus,Ohio,"6,082",2010,39.9611755,-82.9987942,Franklin  County,"Franklin  County, Ohio"
107,107,University of Michigan - Ann Arbor,Ann Arbor,Michigan,"5,995",2010,42.2808256,-83.7430378,Washtenaw  County,"Washtenaw  County, Michigan"
108,108,Michigan State University,East Lansing,Michigan,"5,748",2010,42.7369792,-84.4838654,Ingham  County,"Ingham  County, Michigan"
109,109,Harvard University,Cambridge,Cambridgeshire,"5,594",2010,52.205337,0.121817,Cambridge County,"Cambridge County, Massachusetts"
110,110,Indiana University - Bloomington,Bloomington,Indiana,"5,471",2010,39.165325,-86.5263857,Monroe  County,"Monroe  County, Indiana"
111,111,Boston University,Boston,Massachusetts,"5,464",2010,42.3600825,-71.0588801,Suffolk  County,"Suffolk County, Massachusetts"
112,112,University of Florida,Gainesville,Florida,"5,393",2010,29.6516344,-82.3248262,Alachua  County,"Alachua  County, Florida"
113,113,University of Texas - Austin,Austin,Texas,"5,323",2010,30.267153,-97.7430608,Travis  County,"Travis  County, Texas"
114,114,Penn State University - University Park,University Park,Centre County,"5,207",2010,32.8550377,-96.797592,Dallas  County,"Dallas  County, Texas"
115,115,Northeastern University,Boston,Massachusetts,"5,187",2010,42.3600825,-71.0588801,Suffolk  County,"Suffolk County, Massachusetts"
116,116,SUNY University at Buffalo,Buffalo,New York,"5,185",2010,42.8864468,-78.8783689,Erie  County,"Erie  County, New York"
117,117,University of Minnesota - Twin Cities,Minneapolis,Minnesota,"5,124",2010,44.977753,-93.2650108,Hennepin  County,"Hennepin  County, Minnesota"
118,118,Georgia Institute of Technology,Atlanta,Georgia,"4,943",2010,33.7489954,-84.3879824,Fulton  County,"Fulton  County, Georgia"
119,119,Arizona State University,Tempe,Arizona,"4,934",2010,33.4255104,-111.9400054,Maricopa  County,"Maricopa  County, Arizona"
120,120,Texas A&M University,College Station,Texas,"4,874",2010,30.627977,-96.3344068,Brazos  County,"Brazos  County, Texas"
121,121,University of Pennsylvania,Philadelphia,Pennsylvania,"4,752",2010,39.9525839,-75.1652215,Philadelphia  County,"Philadelphia  County, Pennsylvania"
122,122,University of Wisconsin - Madison,Madison,Wisconsin,"4,647",2010,43.0730517,-89.4012302,Dane  County,"Dane  County, Wisconsin"
123,123,University of Houston,Houston,Texas,"4,377",2010,29.7604267,-95.3698028,Harris  County,"Harris  County, Texas"
124,124,Cornell University,Ithaca,Tompkins County,"4,357",2010,42.4439614,-76.5018807,Ithaca County,"Ithaca County, New York"
125,125,New York University,New York,United States,"9,362",2013,40.7127753,-74.0059728,New York County,"New York County, New York"
126,126,University of Southern California,Los Angeles,California,"9,840",2013,34.0522342,-118.2436849,Los Angeles  County,"Los Angeles  County, California"
127,127,University of Illinois - Urbana-Champaign,Champaign,Champaign County,"9,804",2013,40.1164204,-88.2433829,Champaign City Township County,"Champaign City Township County, Illinois"
128,128,Columbia University,New York,United States,"8,797",2013,40.7127753,-74.0059728,New York County,"New York County, New York"
129,129,Purdue University - Main Campus,West Lafayette,Tippecanoe County,"9,509",2013,40.4258686,-86.9080655,Wabash Township County,"Wabash Township County, Illinois"
130,130,University of California - Los Angeles,Los Angeles,California,"8,424",2013,34.0522342,-118.2436849,Los Angeles  County,"Los Angeles  County, California"
131,131,Northeastern University,Boston,Massachusetts,"7,705",2013,42.3600825,-71.0588801,Suffolk  County,"Suffolk County, Massachusetts"
132,132,Arizona State University,Tempe,Arizona,"6,645",2013,33.4255104,-111.9400054,Maricopa  County,"Maricopa  County, Arizona"
133,133,Michigan State University,East Lansing,Michigan,"6,759",2013,42.7369792,-84.4838654,Ingham  County,"Ingham  County, Michigan"
134,134,University of Washington,Seattle,Washington,"6,491",2013,47.6062095,-122.3320708,King  County,"King  County, Washington"
135,135,University of Michigan - Ann Arbor,Ann Arbor,Michigan,"6,827",2013,42.2808256,-83.7430378,Washtenaw  County,"Washtenaw  County, Michigan"
136,136,Boston University,Boston,Massachusetts,"6,615",2013,42.3600825,-71.0588801,Suffolk  County,"Suffolk County, Massachusetts"
137,137,Penn State University - University Park,University Park,Centre County,"6,693",2013,32.8550377,-96.797592,Dallas  County,"Dallas  County, Texas"
