Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US06071,6071,"San Bernardino County, California",7950,1615,504,324,208,164,440,427,323,321,512,353,197,241,741,513,281,257,981,675,1150,640,700,439,409,335,925,576,262,237,73,121,244,360
0500000US06073,6073,"San Diego County, California",8861,1181,860,470,771,378,495,425,438,424,288,315,703,440,182,159,559,371,642,444,674,422,840,422,857,522,391,245,643,380,221,173,297,223
0500000US17031,17031,"Cook County, Illinois",4450,847,289,248,247,277,49,79,384,248,218,221,245,215,29,53,206,197,64,85,488,382,1071,568,555,319,242,215,103,121,260,224,0,267
0500000US35001,35001,"Bernalillo County, New Mexico",9891,1359,938,584,727,442,1136,609,884,536,535,451,204,198,677,511,405,385,195,196,1345,752,621,318,1090,605,660,453,297,316,137,208,40,73
0500000US35031,35031,"McKinley County, New Mexico",11952,1011,2396,554,867,401,1247,442,950,354,1100,454,943,486,468,252,495,346,427,274,836,493,836,434,922,379,405,310,60,76,0,279,0,279
0500000US35043,35043,"Sandoval County, New Mexico",4040,591,388,207,371,215,456,289,149,157,385,218,184,132,102,99,246,196,203,183,521,298,518,299,127,107,259,212,131,129,0,279,0,279
0500000US35045,35045,"San Juan County, New Mexico",10896,976,1418,552,906,380,455,257,824,383,103,93,724,397,505,358,582,407,645,331,836,358,970,408,1587,596,892,539,151,174,102,112,196,176
0500000US37155,37155,"Robeson County, North Carolina",15038,1300,2223,799,1450,717,1667,784,933,550,1363,610,904,656,1128,625,372,260,472,345,1395,772,1749,635,658,414,555,377,107,174,62,108,0,289
0500000US40101,40101,"Muskogee County, Oklahoma",2900,572,333,275,273,248,630,488,125,103,49,83,285,226,119,144,58,64,279,259,124,131,164,106,173,164,109,179,168,247,11,21,0,248
0500000US40109,40109,"Oklahoma County, Oklahoma",6240,832,558,331,394,207,267,158,596,359,252,195,272,194,477,287,214,164,303,204,652,279,533,291,1036,428,114,116,412,272,38,67,122,130
0500000US40143,40143,"Tulsa County, Oklahoma",7104,1085,442,230,251,223,393,301,623,371,381,258,410,271,884,440,580,375,329,230,405,224,753,419,815,402,456,317,250,188,69,83,63,80
0500000US48113,48113,"Dallas County, Texas",3621,904,212,159,96,158,453,350,145,124,147,161,230,161,314,358,173,175,53,88,244,201,380,237,391,289,327,199,83,80,137,226,236,223
